# POS,ID,PosScore,NegScore,SynsetTerms,Gloss
a,166146,0.875,0,h?p_d?n#1,"thích nhìn, say mê v? ??p; ""qu?n áo h?p d?n""; ""mô t? quy?n sách v? hình minh h?a h?p d?n"""
a,362467,0.75,0,vui_v?#1,"m?t tinh th?n t?t, th? hi?n tâm tr?ng r?t vui ; ""tính vui v? c?a cô ?y""; ""m?t l?i chào vui v?""; ""m?t c?n phòng vui v?"""
a,15589,0.125,0.375,dài#9,"có ho?c ?ang ???c nhi?u h?n m?c bình th??ng ho?c c?n thi?t; ""cái qu?n dài"""
a,15854,0,0.25,phong_phú#1,"có m?t s? l??ng l?n; ""tê giác ?ã t?ng phong phú ? ?ây"""
a,16247,0.125,0.5,th?a_thãi#1,"có r?t nhi?u; ""n??c th?a tha?i"""
a,16756,0,0.25,khan_hi?m#1,"thi?u s? l??ng so v?i yêu c?u; ""rau xanh khan hi?m trong th?i ?i?m h?n hán"""
a,17782,0.625,0,ch?p_nh?n#1,"??ng ý nh?n (?i?u ng??i khác yêu c?u ho?c ?? ra) ; ""m?c b?c x? ch?p nh?n ???c"""
a,21766,0.5,0,chính_xác#1,"phù h?p ho?c g?n ?úng v?i th?c t? ho?c m?t tiêu chu?n..; ""s? ?o chính xác""; ""m?t quy mô chính xác"""
a,167278,0.5,0,d?_th??ng#1,"gây ???c tình c?m m?n th??ng ? ng??i khác ; ""m?t con bé d? th??ng"""
a,35779,0.25,0.125,nhanh#3,"có t?c ??, nh?p ?? trên m?c bình th??ng; ""xe ch?y nhanh"""
a,49016,0.5,0,hoàn_ch?nh#1,"có ??y ?? t?t c? các b? ph?n c?u thành c?n thi?t; ""m?t b? máy hoàn ch?nh"""
a,50446,0.125,0.625,gi?n_l??c#1,"rút g?n ho?c gi?m b?t; ""trình bày m?t cách gi?n l??c"""
a,61262,0.5,0,khéo_tay#1,"nhanh, gi?i ho?c chuyên nghi?p khi làm gì ?ó; ""cô ?y khéo tay may vá"""
a,61664,0.625,0,nguyên_ch?t#4,"ch? thu?n m?t ch?t, không có ch?t khác l?n vào ho?c không có s? pha ch? ; ""vàng nguyên ch?t"""
a,64479,0.625,0,thu?n_l?i#1,"?i?u ki?n t?t ?? làm gì ?ó; ""th?i ti?t thu?n l?i"""
a,64787,0.625,0,có l?i#1,"có ph?m ch?t, ch?t l??ng cao h?n m?c bình th??ng; ""lúa t?t"""
a,65064,0.75,0,tích_c?c#3,"có tác d?ng kh?ng ??nh, thúc ??y s? phát tri?n; ""cô ?y có suy ngh? tích c?c"""
a,65488,0,0.75,b?t_l?i#1,"gây thi?t h?i; ""?ó là v?n ?? b?t l?i v?i chúng ta"""
a,67038,0.625,0,khuy?n_khích#1,"x?ng ?áng ???c ?? ngh? ho?c ?? xu?t; ""nó ???c khuy?n khích làm vi?c ?ó"""
a,67379,0.75,0,t?t_h?n#3 t?t nh?t#2,"khôn ngoan h?n ho?c có nhi?u thu?n l?i h?n; ""cái xe này t?t h?n xe kia"""
a,70939,0.125,0.5,?nh_h??ng#1,"có tác ??ng ??n m?t ?i?u gì ?ó; ""tôi b? ?nh h??ng b?i ti?ng ?n"""
a,71142,0.5,0,?n_t??ng#1,"ch?u tác ??ng ho?c ?nh h??ng rõ r?t; ""tôi ?n t??ng v?i cách tr? l?i c?a cô ?y"""
a,75515,0,0.75,ph?_??nh#2,"bác b? s? t?n t?i, s? c?n thi?t c?a cái gì; ""câu ph? ??nh"""
a,75389,0.5,0,??ng_ý#1,"cùng quan ?i?m ho?c suy ngh? v?i ai ?ó; ""anh ?y ??ng ý v?i tôi"""
a,77645,0,0.5,s?#1,"lo l?ng v? cái gì ?ó; ""cô ?y r?t s? ma"""
a,78851,0,0.625,báo_??ng#1,"c?m giác b?t ng? v? m?t s? nguy hi?m nào ?ó; ""ti?ng chuông báo ??ng"""
a,101609,0.75,0,v?_tha#1,"s?n lòng b? qua l?i l?m c?a ng??i khác; ""cô ?y s?ng r?t v? tha"""
a,102201,0.125,0,m?_h?#2,"không xác ??nh ???c v?n ??; ""tôi v?n còn m? h? v? v?n ?? ?ó"""
a,106182,0.25,0,hào_phóng#3,"r?ng rãi trong chi tiêu, trong quan h? ??i x? v?i m?i ng??i; ""h?n r?t hào phóng v?i chúng tôi"""
